location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
United Kingdom,07/10/2020,546952,14173,13015.143,42605,70,53.143,8056.918,208.776,191.721,627.596,1.031,0.783,442,6.511,3885,57.228,254579,24337590,358.507,3.75,267049,3.934,0.049,20.5
United Kingdom,08/10/2020,564502,17550,14532.429,42682,77,55.714,8315.44,258.522,214.071,628.73,1.134,0.821,436,6.423,4075,60.027,285015,24640915,362.975,4.198,271785,4.004,0.053,18.7
United Kingdom,09/10/2020,578390,13888,15517.286,42769,87,58.714,8520.018,204.578,228.579,630.012,1.282,0.865,440,6.481,4162,61.309,296559,24937474,367.343,4.368,275580,4.059,0.056,17.8
United Kingdom,10/10/2020,593565,15175,15844.429,42850,81,63.286,8743.555,223.537,233.398,631.205,1.193,0.932,470,6.923,4349,64.063,279606,25217079,371.462,4.119,274552,4.044,0.058,17.3
United Kingdom,11/10/2020,606447,12882,14404,42915,65,67.857,8933.314,189.759,212.179,632.163,0.957,1,477,7.026,4661,68.659,258955,25476034,375.277,3.815,275781,4.062,0.052,19.1
United Kingdom,12/10/2020,620458,14011,14605.143,42965,50,72.286,9139.704,206.39,215.142,632.899,0.737,1.065,507,7.468,4952,72.946,219074,25697164,378.534,3.227,268319,3.952,0.054,18.4
United Kingdom,13/10/2020,637708,17250,14989.857,43108,143,81.857,9393.807,254.102,220.809,635.006,2.106,1.206,516,7.601,5286,77.866,264713,25999507,382.988,3.899,273998,4.036,0.055,18.3
United Kingdom,14/10/2020,657459,19751,15786.714,43245,137,91.429,9684.75,290.944,232.547,637.024,2.018,1.347,563,8.293,5590,82.344,295690,26301012,387.429,4.356,280489,4.132,0.056,17.8
United Kingdom,15/10/2020,676455,18996,15993.286,43383,138,100.143,9964.572,279.822,235.59,639.057,2.033,1.475,581,8.558,5925,87.279,304315,26605703,391.917,4.483,280684,4.135,0.057,17.6
United Kingdom,16/10/2020,692112,15657,16246,43519,136,107.143,10195.209,230.637,239.313,641.06,2.003,1.578,592,8.721,6288,92.626,312178,26917855,396.516,4.599,282912,4.167,0.057,17.4
United Kingdom,17/10/2020,708298,16186,16390.429,43669,150,117,10433.638,238.429,241.44,643.27,2.21,1.723,614,9.045,6538,96.309,308416,27226271,401.059,4.543,287027,4.228,0.057,17.5
United Kingdom,18/10/2020,725292,16994,16977.857,43736,67,117.286,10683.97,250.331,250.094,644.257,0.987,1.728,630,9.28,6822,100.492,306893,27533164,405.579,4.521,293876,4.329,0.058,17.3
United Kingdom,19/10/2020,744122,18830,17666.286,43816,80,121.571,10961.346,277.377,260.235,645.435,1.178,1.791,658,9.693,7325,107.901,260338,27795752,409.447,3.835,299798,4.416,0.059,17
